target,h1real,h1imag,h2real,h2imag,y1real,y1imag,y2real,y2imag,n1real,n1imag,n2real,n2imag,ymod1real ,ymod1img,ymod2real,ymod2img,ymod3real,ymod3img,ymod4real,ymod4img,,,,
0,0.38018808,0.209424653,1.29675253,0.849081744,1.683406051,-1.002811689,-0.72792214,-0.006522447,0.92321495,-0.347421439,0.695771528,0.465096172,1.683406051,-1.002811689,0.609621328,1.302034106,-0.72792214,-0.006522447,0.372573286,-1.747135586,,,,
0,-1.597245933,0.770868598,0.609648601,-0.253641483,0.609621328,1.302034106,0.372573286,-1.747135586,-0.884863779,1.015464047,-0.127105124,-1.085432254,1.683406051,-1.002811689,0.609621328,1.302034106,-0.72792214,-0.006522447,0.372573286,-1.747135586,,,,
1,0.225401063,-0.091872709,-0.924675262,0.518830779,-0.092323236,0.97952982,-0.678165087,0.607294061,-0.525667741,1.239448255,0.164926944,0.907253958,-0.092323236,0.97952982,1.26687424,0.06381238,-0.678165087,0.607294061,-1.035015425,0.060759018,,,,
0,-0.306595859,0.085087269,0.242272084,0.803507557,1.26687424,0.06381238,-1.035015425,0.060759018,1.485875161,0.06621519,-0.619896694,1.117298596,-0.092323236,0.97952982,1.26687424,0.06381238,-0.678165087,0.607294061,-1.035015425,0.060759018,,,,
1,2.530308742,-0.485621929,1.958287704,0.333530151,3.692287156,-0.333292774,-0.425962207,-1.103060057,1.378001597,0.173088197,-0.328997116,-0.721428773,3.692287156,-0.333292774,0.703410534,0.909991331,-0.425962207,-1.103060057,3.286375287,0.475154318,,,,
0,-0.954514209,0.203888913,2.146014963,0.984189992,0.703410534,0.909991331,3.286375287,0.475154318,-0.460975073,0.797503794,0.431073923,1.578593758,3.692287156,-0.333292774,0.703410534,0.909991331,-0.425962207,-1.103060057,3.286375287,0.475154318,,,,
1,0.512938247,-0.951413595,-0.044586528,0.000528496,1.166970314,-1.133941538,0.042319683,-1.801706872,0.5014264,-0.54747537,0.197845681,-0.708137238,1.166970314,-1.133941538,-0.930135526,0.017885764,0.042319683,-1.801706872,-0.506630385,1.156231779,,,,
1,0.505399554,0.037826541,-0.14493289,-1.655977044,-0.930135526,0.017885764,-0.506630385,1.156231779,-1.037648125,0.80491828,-0.488835158,-0.016936331,1.166970314,-1.133941538,-0.930135526,0.017885764,0.042319683,-1.801706872,-0.506630385,1.156231779,,,,
0,-0.08778331,0.88253654,1.05337528,1.986426894,0.219574777,-1.599640184,-0.359239884,-0.481961548,-0.613760523,-0.964375065,-0.362397696,0.874207557,0.219574777,-1.599640184,-1.135323471,0.410855383,-0.359239884,-0.481961548,-1.185108602,1.04698519,,,,
1,0.996337843,-0.16417949,1.002106366,0.202962377,-1.135323471,0.410855383,-1.185108602,1.04698519,-0.553018661,-0.10894772,0.301078403,-0.56229597,0.219574777,-1.599640184,-1.135323471,0.410855383,-0.359239884,-0.481961548,-1.185108602,1.04698519,,,,
0,0.474820177,-0.328524985,-0.853822191,0.271753706,0.660353272,-0.324124132,1.260888129,-0.556680621,0.715267144,-0.411233918,-0.177248595,-0.351901587,0.660353272,-0.324124132,-0.345083014,0.168560105,1.260888129,-0.556680621,0.266879766,-0.587080708,,,,
1,0.507164314,-0.268578617,1.152750428,-0.071968075,-0.345083014,0.168560105,0.266879766,-0.587080708,0.39190408,0.6628617,0.536609757,-0.817222682,0.660353272,-0.324124132,-0.345083014,0.168560105,1.260888129,-0.556680621,0.266879766,-0.587080708,,,,
1,0.3457001,1.144205645,0.731638444,-0.599081995,-0.034646755,1.392726532,0.497296101,0.247331289,0.094641052,0.331791374,-0.192730082,0.710226087,-0.034646755,1.392726532,0.265920306,-1.063015043,0.497296101,0.247331289,-0.367373591,0.672305097,,,,
0,0.513985407,-0.407210899,-0.214565136,-0.053678688,0.265920306,-1.063015043,-0.367373591,0.672305097,-0.383695692,-0.60800055,-0.822439116,0.236446978,-0.034646755,1.392726532,0.265920306,-1.063015043,0.497296101,0.247331289,-0.367373591,0.672305097,,,,
1,0.207798507,-0.093671561,-0.556693009,1.017745625,0.418760266,-0.09263648,-0.866655585,0.669733614,-0.193406005,-1.169179292,0.112786272,0.4927676,0.418760266,-0.09263648,0.179596834,-1.789094388,-0.866655585,0.669733614,-0.04256837,1.716933514,,,,
1,0.628190576,1.436319782,-0.811101051,-0.691692992,0.179596834,-1.789094388,-0.04256837,1.716933514,-0.13202258,-0.793521896,0.1540815,0.570184955,0.418760266,-0.09263648,0.179596834,-1.789094388,-0.866655585,0.669733614,-0.04256837,1.716933514,,,,
0,-0.755805549,-0.453272183,-0.572402016,0.368031875,-0.908567032,0.403398695,1.546384711,0.476919932,0.032695416,0.306576798,0.473991329,-0.290903709,-0.908567032,0.403398695,1.609229574,-1.443488938,1.546384711,0.476919932,-0.389064015,2.095842583,,,,
1,-2.081923297,-0.269195549,1.017088459,1.409159122,1.609229574,-1.443488938,-0.389064015,2.095842583,-0.445831493,-1.046424824,-0.083728626,0.941574075,-0.908567032,0.403398695,1.609229574,-1.443488938,1.546384711,0.476919932,-0.389064015,2.095842583,,,,
0,0.229944436,1.156734946,-0.533814934,0.395286049,0.675105421,-0.439881534,-0.715306184,0.608342283,0.171165509,0.107977219,-0.265931989,1.186029652,0.675105421,-0.439881534,-0.671005787,1.10515172,-0.715306184,0.608342283,0.114945626,-1.010444272,,,,
1,0.96894739,0.398551958,-1.210224866,-0.239282546,-0.671005787,1.10515172,0.114945626,-1.010444272,0.198304142,0.006056435,-1.254727143,-1.25750825,0.675105421,-0.439881534,-0.671005787,1.10515172,-0.715306184,0.608342283,0.114945626,-1.010444272,,,,
0,-0.072296327,0.539980235,-0.17072884,0.797222128,0.499724726,0.754058053,0.568198029,0.216709906,0.324263482,1.195057541,0.326558097,-0.20604295,0.499724726,0.754058053,-0.109230512,1.035175138,0.568198029,0.216709906,-0.258131162,1.072625477,,,,
1,0.22571325,0.100105932,0.221224435,1.363396699,-0.109230512,1.035175138,-0.258131162,1.072625477,-0.00083968,0.653649655,-0.249565386,-0.510701003,0.499724726,0.754058053,-0.109230512,1.035175138,0.568198029,0.216709906,-0.258131162,1.072625477,,,,
0,-0.611562454,0.474212614,-0.021249475,-0.077860402,0.24200423,-0.135216069,-1.373192971,0.032976002,-0.306171053,0.43263238,-1.205457329,0.590426004,0.24200423,-0.135216069,0.340530738,0.488618745,-1.373192971,0.032976002,0.071790388,0.917858377,,,,
0,-0.116587073,0.262309928,0.44385608,0.775409544,0.340530738,0.488618745,0.071790388,0.917858377,0.774788735,0.716360054,0.449558774,0.352880876,0.24200423,-0.135216069,0.340530738,0.488618745,-1.373192971,0.032976002,0.071790388,0.917858377,,,,
1,0.773055568,-0.281543833,0.784374671,-0.06043115,0.293305271,-1.411444697,-0.415029726,0.285280493,-0.768755403,-0.028857684,-1.044584403,0.102161193,0.293305271,-1.411444697,-0.127981449,-0.79702144,-0.415029726,0.285280493,1.02238598,-0.185693876,,,,
0,-0.610694767,1.678167622,0.054701138,-0.335112767,-0.127981449,-0.79702144,1.02238598,-0.185693876,-0.272412474,0.213790195,0.481424217,-0.522171301,0.293305271,-1.411444697,-0.127981449,-0.79702144,-0.415029726,0.285280493,1.02238598,-0.185693876,,,,
0,-0.858510395,0.669164038,-0.787363925,0.578527598,1.135226784,-0.920773877,0.127344148,-1.342928765,0.588772001,0.389207999,0.378018038,-0.752697079,1.135226784,-0.920773877,-0.119617415,-0.879472344,0.127344148,-1.342928765,-0.217118499,-0.041103473,,,,
0,-0.004843206,1.123572087,1.083733284,0.37194665,-0.119617415,-0.879472344,-0.217118499,-0.041103473,0.543075381,-1.347305574,1.240892972,0.117779754,1.135226784,-0.920773877,-0.119617415,-0.879472344,0.127344148,-1.342928765,-0.217118499,-0.041103473,,,,
0,-0.544235987,-1.743157906,0.262604477,-0.602828289,-0.802033276,1.613078981,0.668877245,0.694261559,-1.205130884,0.139817522,0.331992449,0.156084136,-0.802033276,1.613078981,0.463402355,0.140532131,0.668877245,0.694261559,-1.216315665,0.479597834,,,,
1,-0.159512261,0.361851581,0.790090103,0.182274388,0.463402355,0.140532131,-1.216315665,0.479597834,-0.038398617,1.25358993,-0.529534578,0.871779558,-0.802033276,1.613078981,0.463402355,0.140532131,0.668877245,0.694261559,-1.216315665,0.479597834,,,,
1,-0.770084748,1.387659861,0.023021604,0.994414809,0.18344293,2.404220745,0.563109558,0.883439819,0.506828714,1.31790064,-0.00389821,0.15581143,0.18344293,2.404220745,1.577119202,1.305437602,0.563109558,0.883439819,-0.117621132,0.289181035,,,,
1,0.390695603,0.351314501,0.778248949,0.058570052,1.577119202,1.305437602,-0.117621132,0.289181035,0.848608973,0.642502292,-0.731160531,-0.418020472,0.18344293,2.404220745,1.577119202,1.305437602,0.563109558,0.883439819,-0.117621132,0.289181035,,,,
1,1.091922703,-1.094939199,0.060762487,1.317452811,0.983755783,-0.986817961,0.687263206,0.603120022,-0.599320907,-0.163327421,0.306475661,-1.23585966,0.983755783,-0.986817961,-0.533015324,0.751234549,0.687263206,0.603120022,-0.251783393,0.425613714,,,,
0,-1.054713623,0.094771133,-0.524886663,-1.093188904,-0.533015324,0.751234549,-0.251783393,0.425613714,-0.627574224,0.049378828,0.085724408,0.655474479,0.983755783,-0.986817961,-0.533015324,0.751234549,0.687263206,0.603120022,-0.251783393,0.425613714,,,,
0,-0.750651642,0.306376921,1.662024242,0.072799627,-0.030294387,-1.16868693,-0.110053032,0.054842071,-0.284189673,-0.748243456,0.775468679,-0.157320337,-0.030294387,-1.16868693,1.113788355,-0.524854907,-0.110053032,0.054842071,-1.80576526,-0.211458464,,,,
1,-0.435296265,-0.403295595,0.528970167,0.348647595,1.113788355,-0.524854907,-1.80576526,-0.211458464,0.308775605,-0.512002889,-0.287795777,-0.571630985,-0.030294387,-1.16868693,1.113788355,-0.524854907,-0.110053032,0.054842071,-1.80576526,-0.211458464,,,,
