h1real,h1imag,h2real,h2imag,y1real,y1imag,y2real,y2imag,n1real,n1imag,n2real,n2imag,n1realxSNR11,n1imagxSNR11,n2realxSNR11,n2imagxSNR11,target,ymod1real,ymod1imag,ymod2real ,ymod2imag,ymod3real,ymod3imag,ymod4real,ymod 4 imag,  BER ,  All  this data is calculated for 0 db
0.38018808,0.402849424,1.29675253,-0.683706234,0.843725846,0.51235039,0.830198275,-0.755868759,-0.554531154,-0.126768651,0.344342428,-0.316142278,-0.156266879,-0.035723406,0.097035696,-0.089088894,1,0.843725846,0.51235039,-1.58145026,-0.222414837,0.830198275,-0.755868759,2.234695646,1.67796367,for 0 db  394 ,
-1.597245933,-0.501001392,0.609648601,-0.061839081,-1.58145026,-0.222414837,2.234695646,1.67796367,-0.720860399,-0.291818759,0.886666478,1.150783521,-0.20313846,-0.082234526,0.249862614,0.324290796,0,0.843725846,0.51235039,-1.58145026,-0.222414837,0.830198275,-0.755868759,2.234695646,1.67796367,for 1 db 264,
0.225401063,-0.121572487,-0.924675262,0.590283055,-0.34353616,0.191474952,0.479374957,-0.456923815,-0.400949552,-0.041847517,-0.003156958,-0.569828242,-0.112987584,-0.01179263,-0.000889631,-0.160577599,0,-0.34353616,0.191474952,-0.095447401,-0.617168736,0.479374957,-0.456923815,-1.580987758,-0.310102196,for 2 db   165,
-0.306595859,-0.208395313,0.242272084,-0.749954026,-0.095447401,-0.617168736,-1.580987758,-0.310102196,-0.471626032,-0.555775727,-0.755831377,0.637588533,-0.132904216,-0.1566176,-0.212993282,0.179672449,0,-0.34353616,0.191474952,-0.095447401,-0.617168736,0.479374957,-0.456923815,-1.580987758,-0.310102196,for 3 db  113,
2.530308742,0.243852533,1.958287704,0.184533089,-1.37298929,-0.770044129,-3.634071159,0.228581944,-0.25873429,0.645651857,-0.731890911,1.055107282,-0.072911323,0.181944693,-0.206246859,0.297329232,0,-1.37298929,-0.770044129,2.023843054,1.199985395,-3.634071159,0.228581944,-0.441934578,1.055491796,for 4 db  76,
-0.954514209,1.75824393,2.146014963,0.984350253,2.023843054,1.199985395,-0.441934578,1.055491796,-0.440298886,0.129148969,-0.30919136,0.489935656,-0.124076226,0.036394179,-0.087130125,0.138063868,0,-1.37298929,-0.770044129,2.023843054,1.199985395,-3.634071159,0.228581944,-0.441934578,1.055491796,for 5 db 41,
0.512938247,0.41619177,-0.044586528,0.757746984,-0.418635873,-0.884564186,-0.421542739,-1.227295119,-0.413305212,-0.466729603,-0.350587147,0.184912661,-0.116469409,-0.131524402,-0.098795458,0.052108388,0,-0.418635873,-0.884564186,-0.782817713,-0.148274056,-0.421542739,-1.227295119,0.491019352,-0.226182242,for 10 db 1,
0.505399554,-0.174715564,-0.14493289,-1.239416411,-0.782817713,-0.148274056,0.491019352,-0.226182242,-0.062744148,-0.319023519,0.357008886,0.114409476,-0.017681301,-0.089900828,0.100605104,0.03224059,1,-0.418635873,-0.884564186,-0.782817713,-0.148274056,-0.421542739,-1.227295119,0.491019352,-0.226182242,for 11 db 0,
-0.08778331,0.791074007,1.05337528,0.090612696,-1.079631686,-0.283316253,-0.205688779,-1.066752487,-0.313042267,-0.044212461,-0.241941377,-0.627431633,-0.088215311,-0.012459072,-0.06817908,-0.176810234,1,-1.079631686,-0.283316253,0.374611417,-1.391122074,-0.205688779,-1.066752487,1.041571999,-1.040939509,,
0.996337843,1.129217833,1.002106366,0.711906207,0.374611417,-1.391122074,1.041571999,-1.040939509,-0.267833654,-0.033270692,-0.411873012,-0.47347295,-0.075475524,-0.009375681,-0.116065815,-0.133424677,0,-1.079631686,-0.283316253,0.374611417,-1.391122074,-0.205688779,-1.066752487,1.041571999,-1.040939509,,
0.474820177,0.599425161,-0.853822191,-0.244127066,0.275347964,0.580886798,-1.424216716,0.313526627,0.298218723,0.596729246,-0.00535561,0.288989412,0.084038036,0.168158302,-0.001509211,0.081437216,1,0.275347964,0.580886798,0.787279348,-1.260052522,-1.424216716,0.313526627,-0.216263491,0.272463069,,
0.507164314,0.621829767,1.152750428,-0.278827929,0.787279348,-1.260052522,-0.216263491,0.272463069,0.092911456,-0.396494881,-0.427637674,-0.097321954,0.026182448,-0.111732257,-0.120508297,-0.027425327,0,0.275347964,0.580886798,0.787279348,-1.260052522,-1.424216716,0.313526627,-0.216263491,0.272463069,,
0.3457001,0.19151012,0.731638444,-0.045574374,2.011083551,1.033271583,1.022609184,1.392120341,1.403194099,0.735446443,0.656983142,0.25187107,0.395420097,0.207248808,0.185137849,0.070977268,1,2.011083551,1.033271583,0.617013252,-0.476040503,1.022609184,1.392120341,-0.753240072,-0.421338579,,
0.513985407,0.229678234,-0.214565136,1.658130359,0.617013252,-0.476040503,-0.753240072,-0.421338579,0.498017571,-0.449051571,-0.084173105,0.783362591,0.140341352,-0.126542733,-0.023719981,0.220751578,1,2.011083551,1.033271583,0.617013252,-0.476040503,1.022609184,1.392120341,-0.753240072,-0.421338579,,
0.207798507,-0.101851481,-0.556693009,-0.283472749,-0.328369413,-1.711162464,0.918287041,-0.854475892,0.262764137,-1.12542914,-0.048889414,-1.39167226,0.074046934,-0.317145932,-0.013777037,-0.392173243,0,-0.328369413,-1.711162464,0.118743763,1.338189721,0.918287041,-0.854475892,-0.396461361,-0.336053123,,
