Target,Y1,Y2(imagnary),Y3,Y4(imagnary
1,0.570442028,0.943219378,2.357015599,1.19183807
1,0.40848628,-0.771556126,-2.355877255,0.623980958
0,1.325287328,-1.017308516,-1.303233058,0.284745473
1,-0.260251562,1.030897572,0.75593729,1.10076305
1,0.086556172,0.66327267,0.323245781,1.174500819
0,-0.674231576,-0.963117649,-0.792698195,0.069701651
0,0.195459781,0.774952568,-0.865635668,-0.041577742
1,-0.057722211,-0.463544786,0.231956627,-0.861894154
1,-0.064780293,0.076831212,-1.639688958,-0.872398899
1,0.423948488,-1.078028339,-0.543899887,0.70993193
0,-1.007232665,-0.231093896,-0.182896638,0.063257626
1,-0.233442903,-1.238064171,0.077673024,-1.548722262
1,0.27173464,-0.326348787,0.455721266,-1.308297052
0,-0.653425816,-0.660350152,0.006091429,0.3834438
1,0.492882002,0.397558014,-1.044155934,1.016390593
0,-1.163763188,-1.150071685,-1.011985452,1.16277245
0,0.582505487,1.18680251,-0.00061509,-0.942114798
1,0.121725706,0.751768413,-0.826839233,0.16088872
1,0.77242047,-1.206230963,0.509119407,0.734694493
1,0.406879373,0.126876047,0.337002779,0.162315007
1,-0.180989953,-0.341246007,0.181358856,0.901849576
0,0.255792973,1.22643705,0.575472064,-0.015706215
1,-1.241115078,0.030000461,-1.096288969,-0.337610753
1,-0.874396827,-0.300556796,-0.039390494,-0.4715178
1,-0.319611136,-1.331039135,-0.05014631,-0.380851993
1,0.415370262,1.23242306,0.126764461,1.060315327
1,-0.760969075,0.41037338,0.994156642,0.046773219
0,0.718784742,-0.332070867,1.003066344,-0.336319698
1,-0.845699003,0.684767321,0.065871953,0.424422105
0,0.642364418,0.03579276,-0.3378931,-1.002003464
1,0.698937398,-0.219196652,-0.661261105,-1.037180922
0,0.85504562,-0.431206797,-0.687438812,1.669267309
0,0.929321847,1.799365297,-0.466565079,-0.612508551
0,-0.147720697,0.833066709,-0.334055704,1.049799583
0,3.307463136,-0.492731988,0.91607114,-0.227395407
1,0.239515177,-1.022725872,-1.447773857,1.066782006
1,0.839963399,0.77154222,-1.931692654,-0.332612167
0,0.747586061,0.647640726,2.258838446,0.530485252
1,-0.724454932,0.737867044,-0.573780035,0.809196838
0,0.491929011,-0.564350739,-1.586350927,-1.061281324
0,-0.245471176,0.005275907,-0.199461933,-1.71291615
0,1.146952731,0.336298667,-1.803043415,0.958899004
1,1.471523272,-1.221493021,0.153211705,-1.828985942
1,-0.239918942,1.455397653,-0.110489544,-0.254740609
0,-0.311566307,-0.452328781,0.346601415,2.748781485
0,-0.564505689,-0.187229762,1.271212293,-2.192342482
0,-0.408626821,1.813434612,-1.175637053,-0.9442546
1,0.997881736,-0.204619434,-1.084777208,-0.934916706
1,-0.22746865,-0.762618435,-1.269629215,-0.076499433
1,0.531932558,1.320104364,-1.068592439,-1.458338502
0,1.488540929,-0.06306205,0.909377837,-2.12271934
1,-1.114175687,1.289949745,-0.171959788,1.177202036
1,0.372789545,0.042856143,0.195059019,0.029398098
0,-1.733237443,-0.323390007,0.413927721,-0.569135089
0,-1.178275968,-1.333970069,-0.875695293,0.265871489
0,1.442853116,0.612441271,-0.572657251,0.189830999
1,-0.364330242,0.366527982,-1.74211713,-2.557521673
0,0.317373777,0.679310409,-0.470210398,0.595838248
1,1.342097283,1.165304315,-0.677669827,0.253222279
0,-1.024956029,-1.350768462,-0.75440429,-1.107950596
1,-1.402240786,-0.361271643,0.624059471,0.040220857
0,-1.716712963,0.155629801,0.087386596,-0.531523659
1,-0.291806524,-1.415685527,0.145563424,0.842583449
1,-0.590160177,-0.126692163,-1.23771123,0.241787925
1,0.51889222,-0.490112631,-1.07418463,-0.700404602
1,-0.479400778,0.349775332,0.031298422,2.120411766
1,0.342273872,1.678533184,-0.001367079,-1.597562177
0,0.100240635,-0.44902838,-0.616084774,-0.059925936
0,-0.201526431,-0.736544672,-0.036749258,-1.316907395
0,-0.54399695,0.377842616,-0.456935608,0.042454925
1,-0.503304874,1.025059376,-0.316681171,-0.929240834
0,-0.438257622,-0.084800236,0.898885384,0.4478947
1,0.934143185,-0.770109822,1.412069441,0.760733517
0,-0.218223654,-0.981451355,-0.277806699,0.416171819
1,1.541743862,0.01700923,0.284507479,1.20279977
0,0.548493204,1.561706937,-0.943206908,-0.187045473
0,0.648712059,-1.345239626,0.584664432,1.572328443
0,-1.566980321,0.493207163,-0.68810976,1.126579427
1,-0.725496671,-1.724384812,0.221851033,-0.976367432
0,1.4734395,1.375284397,-0.719298933,0.909282006
0,1.974901039,0.863971001,-0.915783352,-0.028861024
1,-0.336615947,1.510822335,-1.537122136,-0.61421004
1,0.775012552,-1.341506327,-1.734607235,-0.554787521
1,-0.37008907,-0.472985688,-1.654480781,-2.364218081
1,1.45197664,-0.531319691,-0.259202351,0.007003597
0,0.300015508,0.45172847,-1.195581527,0.217455133
1,-0.569839682,0.418068846,-0.426507613,-0.51722105
1,1.630977773,-0.424777633,1.379747249,-1.444457468
0,-1.119869188,-0.635687551,-0.446832528,0.380241958
1,0.259270393,-0.622819986,-0.280133952,-0.693985776
0,-0.789070874,-1.065765573,-0.568144542,1.544818144
0,0.106938846,1.219700999,-1.794371993,0.51692967
1,0.106035691,-1.148714489,-0.317508067,-1.468652269
1,0.610134877,-0.982404,-0.363500266,0.410768443
1,-0.042142793,0.003885928,-0.604427791,-0.565278811
0,0.946340829,-1.196778526,1.55439731,1.057242604
1,-1.343754839,-2.83453724,0.324395583,1.244722174
0,1.132345512,1.073864614,1.25639861,-0.931228056
0,-0.016298276,-1.197052569,0.142048057,-0.673351129
0,0.92173496,0.37829477,0.475416237,0.118512781
0,-0.391020054,-0.061604188,-0.457099732,1.575792117
1,1.019887755,1.430766689,-1.102899579,-0.481929594
0,-0.554989311,0.323169425,1.578230245,-0.465398225
1,-1.671783971,0.759791519,0.148325279,1.443665578
0,0.104283304,1.352007795,0.54535876,0.204781177
1,0.087372607,0.440310523,-1.644446447,-0.125960805
0,-0.409874158,-0.984073234,-0.621026467,0.147583097
1,-0.177462496,0.512066709,0.304377738,0.920094628
1,0.964543885,-2.350740166,-0.192114249,-0.037256789
1,0.380662129,0.858076724,1.107603112,-1.751838424
0,-0.324494062,1.347765408,0.924805898,-1.043434596
0,1.391718852,-1.028804641,0.4611978,-0.639544431
0,2.266009564,-1.228642952,0.740738356,-1.03069476
1,-0.695384525,0.094215238,0.404075227,2.980287783
0,0.22550691,-0.007831055,-2.164849938,-0.461316156
1,0.640927697,-1.293538108,0.356923465,-0.717975373
1,0.576160481,-0.430324026,-0.514566013,-0.461423073
1,-1.197531842,-0.037680351,0.030726682,-1.151102269
0,-0.812961429,0.068161305,0.512049796,-0.19890143
0,0.199105859,-0.521775313,-0.333704203,-1.768204464
0,-0.113142262,1.073646733,0.497523609,0.999223628
1,0.05752973,-2.081700749,1.197411368,-0.651696528
0,-0.517832409,0.216644044,-0.099103382,0.498083979
1,0.233790278,0.30064631,-0.66289147,0.708512561
1,-1.889627732,-1.444400257,-1.250705893,-1.00095638
1,-0.774343544,0.569898491,1.157124526,-1.540213151
0,0.029994245,0.316653063,0.893333253,1.516721831
0,-1.067756152,0.359726002,0.348050222,-0.736798806
0,0.363454031,0.896634348,-0.681948711,0.951655208
1,1.385433563,1.446189049,0.605092086,1.646360423
0,0.847440463,-0.364338255,-0.163031956,0.095084747
1,0.328256785,-0.381674967,-0.356253848,0.60906199
0,-0.864107584,0.796153219,0.064811376,-0.38382715
